Electorate,State,Party,Margin,Total,Doctoral Degree Level,% Doctoral,Master Degree Level,% Master,Bachelor Degree Level,% Bachelor
Bean,ACT,ALP,7.52,"131,902",1599,0.012122637,6021,0.045647526,20853,0.158094646
Canberra,ACT,ALP,17.08,"123,117",4530,0.036794269,11770,0.09560012,28696,0.233079104
Fenner,ACT,ALP,10.56,"132,414",1840,0.013895812,8468,0.063950942,22058,0.166583594
Banks,NSW,LP,6.26,"152,817",689,0.004508661,"7,363",0.048181812,"22,892",0.149800088
Barton,NSW,ALP,9.41,"169,641","1,048",0.006177752,"10,416",0.061400251,"28,891",0.170306707
Bennelong,NSW,LP,6.91,"165,900","2,081",0.012543701,"14,807",0.089252562,"35,904",0.21641953
Berowra,NSW,LP,15.65,"140,884","1,552",0.011016155,"9,195",0.06526646,"27,209",0.193130519
Blaxland,NSW,ALP,14.72,"171,811",223,0.001297938,"5,057",0.029433505,"17,268",0.100505788
Bradfield,NSW,LP,16.56,"157,069","2,706",0.017228097,"14,943",0.095136532,"38,811",0.247095226
Calare,NSW,NP,13.29,"156,867",451,0.002875047,"2,216",0.014126617,"12,836",0.08182728
Chifley,NSW,ALP,12.37,"167,845",197,0.001173702,"4,739",0.028234383,"17,297",0.103053412
Cook,NSW,LP,19.02,"136,399",549,0.004024956,"4,686",0.034355091,"19,246",0.141100741
Cowper,NSW,NP,6.79,"154,171",335,0.002172912,"2,018",0.013089362,"13,024",0.084477625
Cunningham,NSW,ALP,13.41,"151,427","1,618",0.010685017,"5,540",0.036585285,"19,369",0.127909818
Dobell,NSW,ALP,1.50,"151,181",209,0.001382449,"1,889",0.012494956,"10,974",0.072588487
Eden-Monaro,NSW,ALP,0.85,"143,358",813,0.005671117,"3,742",0.026102485,"14,546",0.101466259
Farrer,NSW,LP,10.94,"159,129",235,0.001476789,"1,606",0.010092441,"11,509",0.072324969
Fowler,NSW,ALP,13.99,"161,724",116,0.000717271,"2,569",0.015885088,"13,309",0.082294526
Gilmore,NSW,ALP,2.61,"146,223",378,0.002585093,"2,533",0.017322856,"12,192",0.083379496
Grayndler,NSW,ALP,16.30,"146,026","2,481",0.016990125,"12,300",0.084231575,"34,527",0.236444195
Greenway,NSW,ALP,2.80,"167,138",540,0.003230863,"8,862",0.053022054,"23,908",0.143043473
Hughes,NSW,LP,9.85,"141,184",671,0.004752663,"4,972",0.035216455,"19,005",0.134611571
Hume,NSW,LP,12.99,"146,580",367,0.002503752,"2,521",0.017198799,"11,628",0.079328694
Hunter,NSW,ALP,2.98,"152,467",325,0.002131609,"1,861",0.01220592,"10,040",0.065850315
Kingsford Smith,NSW,ALP,8.81,"172,302","2,509",0.014561642,"11,643",0.067573214,"33,960",0.197095797
Lindsay,NSW,LP,5.04,"162,769",265,0.001628074,"3,310",0.020335568,"12,514",0.076881962
Lyne,NSW,NP,15.17,"140,993",276,0.001957544,"1,467",0.010404772,"9,902",0.070230437
Macarthur,NSW,ALP,8.40,"158,467",263,0.001659652,"3,559",0.022458935,"12,879",0.081272442
Mackellar,NSW,LP,13.22,"144,980",784,0.005407642,"5,845",0.040315906,"23,820",0.164298524
Macquarie,NSW,ALP,0.19,"138,088",993,0.007191067,"4,299",0.031132321,"15,836",0.114680494
McMahon,NSW,ALP,6.64,"163,115",130,0.000796984,"3,494",0.02142047,"14,265",0.087453637
Mitchell,NSW,LP,18.63,"150,650",964,0.006398938,"9,378",0.062250249,"27,009",0.179283107
New England,NSW,NP,14.36,"149,345","1,008",0.006749473,"2,003",0.013411899,"11,760",0.078743848
Newcastle,NSW,ALP,13.83,"150,336","1,583",0.010529747,"4,862",0.03234089,"21,639",0.14393758
North Sydney,NSW,LP,9.27,"158,275","2,584",0.016326015,"16,416",0.103718212,"43,086",0.272222398
Page,NSW,NP,9.45,"154,717",383,0.002475488,"1,730",0.011181706,"12,717",0.082195234
Parkes,NSW,NP,16.91,"149,386",136,0.000910393,"1,353",0.009057074,"10,082",0.067489591
Parramatta,NSW,ALP,3.50,"182,933","1,081",0.005909267,"14,908",0.081494318,"32,596",0.178185456
Paterson,NSW,ALP,5.04,"152,035",198,0.001302332,"1,710",0.01124741,"9,688",0.063722169
Reid,NSW,LP,3.18,"178,154","1,459",0.008189544,"15,008",0.084241723,"38,165",0.214224772
Richmond,NSW,ALP,4.08,"148,591",523,0.003519729,"2,701",0.018177413,"15,466",0.104084366
Riverina,NSW,NP,19.48,"151,567",473,0.003120732,"1,531",0.010101143,"11,601",0.076540408
Robertson,NSW,LP,4.24,"139,371",495,0.003551671,"3,147",0.02258002,"15,115",0.108451543
Shortland,NSW,ALP,4.45,"141,408",492,0.003479294,"2,253",0.015932621,"12,918",0.091352682
Sydney,NSW,ALP,18.67,"196,125","3,329",0.016973869,"19,283",0.098319949,"54,610",0.278444869
Warringah,NSW,IND,7.24,"143,535","1,518",0.010575818,"11,151",0.077688369,"34,067",0.237342808
Watson,NSW,ALP,13.52,"171,745",567,0.003301406,"7,395",0.043058022,"22,128",0.128842179
Wentworth,NSW,LP,1.31,"142,484","2,322",0.016296567,"12,430",0.087237865,"39,488",0.277139889
Werriwa,NSW,ALP,5.47,"167,821",232,0.001382425,"3,734",0.022249897,"14,924",0.088928084
Whitlam,NSW,ALP,10.91,"148,320",423,0.002851942,"2,376",0.016019417,"11,013",0.074251618
Lingiari,NT,ALP,5.46,"116,981",173,0.001478873,1632,0.013950983,7359,0.062907652
Solomon,NT,ALP,3.08,"106,253",654,0.00615512,3461,0.032573198,13459,0.126669365
Blair,QLD,ALP,1.21,"158,757",256,0.001612527,1797,0.011319186,10378,0.065370346
Bonner,QLD,LNP,7.41,"146,534",995,0.006790233,5487,0.037445235,22326,0.152360544
Bowman,QLD,LNP,10.24,"144,172",459,0.003183697,2523,0.017499931,13373,0.092757262
Brisbane,QLD,LNP,4.92,"155,702",2275,0.014611245,10294,0.066113473,38440,0.246881864
Capricornia,QLD,LNP,12.35,"148,306",341,0.0022993,1345,0.009069087,10112,0.068183351
Dawson,QLD,LNP,14.61,"150,656",356,0.002362999,1464,0.009717502,11381,0.075542959
Dickson,QLD,LNP,4.64,"148,277",591,0.003985783,3262,0.021999366,16714,0.112721461
Fadden,QLD,LNP,14.18,"160,483",575,0.003582934,3085,0.01922322,14430,0.089916066
Fairfax,QLD,LNP,13.44,"144,463",608,0.00420869,2724,0.018856039,15691,0.108616047
Fisher,QLD,LNP,12.70,"143,070",534,0.003732439,2244,0.01568463,13894,0.097113301
Flynn,QLD,LNP,8.66,"150,892",87,0.000576571,982,0.006507966,9119,0.060433953
Forde,QLD,LNP,8.60,"162,270",178,0.001096937,1823,0.011234362,11019,0.067905343
Griffith,QLD,ALP,2.86,"146,397",2054,0.014030342,8815,0.060212983,32516,0.222108377
Groom,QLD,LNP,20.48,"144,879",799,0.005514947,2658,0.018346344,14112,0.097405421
Herbert,QLD,LNP,8.36,"156,302",675,0.004318563,2238,0.014318435,14286,0.091399982
Hinkler,QLD,LNP,14.50,"139,733",161,0.001152197,1149,0.008222825,9075,0.064945289
Kennedy,QLD,IND,13.33,"158,666",157,0.0009895,1142,0.007197509,9512,0.059949832
Leichhardt,QLD,LNP,4.17,"163,184",590,0.003615551,2739,0.016784734,15504,0.095009315
Lilley,QLD,ALP,0.64,"146,687",760,0.0051811,4919,0.033533987,22469,0.153176491
Longman,QLD,LNP,3.28,"157,487",140,0.000888962,1208,0.007670474,8916,0.056614197
Maranoa,QLD,LNP,22.49,"145,420",71,0.000488241,891,0.00612708,9262,0.063691377
McPherson,QLD,LNP,12.20,"148,252",603,0.004067399,3378,0.022785527,16585,0.111870329
Moncrieff,QLD,LNP,15.36,"163,497",700,0.004281424,4167,0.025486706,19979,0.122197961
Moreton,QLD,ALP,1.90,"158,339",2240,0.014146862,9469,0.05980207,29853,0.188538515
Oxley,QLD,ALP,6.39,"164,189",1009,0.006145357,4107,0.025013856,17321,0.105494278
Petrie,QLD,LNP,8.40,"159,761",358,0.002240847,3057,0.019134833,15160,0.094891745
Rankin,QLD,ALP,6.44,"175,771",416,0.002366716,4457,0.025356856,16086,0.091516803
Ryan,QLD,LP,6.03,"150,489",4039,0.026839171,9933,0.066004824,33205,0.220647356
Wide Bay,QLD,LNP,13.15,"138,434",300,0.002167098,1507,0.010886054,10137,0.073226231
Wright,QLD,LNP,14.58,"152,724",315,0.002062544,1866,0.012218119,10725,0.070224719
Adelaide,SA,ALP,8.18,"177,282",2338,0.013188028,8504,0.047968773,31627,0.178399386
Barker,SA,LP,18.94,"161,128",140,0.000868874,1025,0.006361402,9342,0.05797875
Boothby,SA,LP,1.38,"161,816",2118,0.013088941,6332,0.039130865,27243,0.168357888
Grey,SA,LP,13.32,"163,581",126,0.000770261,817,0.004994468,9194,0.056204571
Hindmarsh,SA,ALP,6.54,"156,993",718,0.004573452,3835,0.024427841,18211,0.115998802
Kingston,SA,ALP,11.94,"155,033",432,0.002786504,1962,0.01265537,13180,0.085014158
Makin,SA,ALP,9.72,"163,219",641,0.003927239,3205,0.019636194,15068,0.092317684
Mayo,SA,IND,5.14,"154,831",1222,0.007892476,3035,0.019602018,17296,0.111708896
Spence,SA,ALP,14.13,"169,376",110,0.000649443,1050,0.006199225,7528,0.044445494
Sturt,SA,LP,6.87,"170,662",2659,0.015580504,8196,0.048024751,31404,0.184012844
Bass,TAS,LP,0.41,"99,695",545,0.005466673,1598,0.016028888,9190,0.092181153
Braddon,TAS,LP,3.09,"99,912",139,0.001391224,796,0.007967011,6098,0.06103371
Clark,TAS,IND,22.12,"100,349",1672,0.01666185,3927,0.039133424,14768,0.147166389
Franklin,TAS,ALP,12.21,"96,161",872,0.009068125,2052,0.021339212,10935,0.11371554
Lyons,TAS,ALP,5.18,"98,870",199,0.002012744,823,0.008324062,5852,0.059188834
Aston,VIC,LP,10.13,"150,990",755,0.005000331,4759,0.031518644,19878,0.131651103
Ballarat,VIC,ALP,10.98,"145,116",714,0.004920202,3019,0.020804046,14711,0.101374073
Bendigo,VIC,ALP,9.04,"142,741",644,0.004511668,2643,0.018516054,14418,0.10100812
Bruce,VIC,ALP,14.15,"174,856",360,0.002058837,4268,0.024408656,16566,0.094740815
Calwell,VIC,ALP,18.80,"159,296",171,0.001073473,3585,0.022505273,13148,0.082538168
Casey,VIC,LP,4.64,"144,841",612,0.004225323,2558,0.017660745,14432,0.099640295
Chisholm,VIC,LP,0.57,"167,262",2196,0.013129103,11416,0.068252203,34047,0.203554902
