Electorate,State,Party,Margin,Total,"Natural and Physical Sciences, nfd",% Natural & Physical Sciences,Mathematical Sciences,%Mathematical Sciences,Physics and Astronomy,% Physics & Astronomy,Chemical Sciences,% Chemical Sciences,Earth Sciences,% Earth Sciences,Biological Sciences,% Biological Sciences,Other Natural and Physical Sciences,% Other Sciences,"Information Technology, nfd",% IT,Computer Science,% Computer Science,Information Systems,% Information Systems,Other Information Technology,% Other IT,"Engineering and Related Technologies, nfd",% Engineering,Manufacturing Engineering and Technology,% Manufacturing Engineering,Process and Resources Engineering,% Process and Resources Eng.,Automotive Engineering and Technology,% Automotive Engineering,Mechanical and Industrial Engineering and Technology,% Mechanical and Industrial Eng.,Civil Engineering,% Civil Eng.,Geomatic Engineering,% Geomatic Eng.,Electrical and Electronic Engineering and Technology,% Electrical and Electronic Eng.,Aerospace Engineering and Technology,% Aerospace Eng.,Maritime Engineering and Technology,% Maritime Eng.,Other Engineering and Related Technologies,% Other Eng.,"Architecture and Building, nfd",% Architecture,Architecture and Urban Environment,% Archi & Urban,Building,% Building,"Agriculture, Environmental and Related Studies, nfd",% Agriculture & Enviro,Agriculture,% Agriculture,Horticulture and Viticulture,%Horticulture & Viticulture,Forestry Studies,% Forestry,Fisheries Studies,% Fisheries,Environmental Studies,% Environ,"Other Agriculture, Environmental and Related Studies",% Other Agri,"Health, nfd",% Health,Medical Studies,%Medical,Nursing,% Nursing,Pharmacy,%Pharmacy,Dental Studies,% Dental,Optical Science,% Optical,Veterinary Studies,% Vet,Public Health,% Public Health,Radiography,%Radiography,Rehabilitation Therapies,%Rehab,Complementary Therapies,% Comple. Med,Other Health,%Other Health,"Education, nfd",% Education,Teacher Education,% Teacher,Curriculum and Education Studies,% Curriculum,Other Education,% Other Education,"Management and Commerce, nfd",% Management & Commerce,Accounting,% Accounting,Business and Management,% Business,Sales and Marketing,% Sales & Marketing,Tourism,%Toursim,Office Studies,% Office,"Banking, Finance and Related Fields",% Banking & Finance,Other Management and Commerce,% Other Management,"Society and Culture, nfd",%Society,Political Science and Policy Studies,%Poli Sci,Studies in Human Society,% Human Society,Human Welfare Studies and Services,% Human Welfare,Behavioural Science,% Behavioural Science,Law,% Law,Justice and Law Enforcement,% Justice,"Librarianship, Information Management and Curatorial Studies",% Librarianship,Language and Literature,%Language & Lit,Philosophy and Religious Studies,% Philosophy,Economics and Econometrics,% Economics,Sport and Recreation,% Sport,Other Society and Culture,% Other Society,"Creative Arts, nfd",% Creative Arts,Performing Arts,%Performing Arts,Visual Arts and Crafts,% Visual Arts,Graphic and Design Studies,% Graphic and Design,Communication and Media Studies,% Communication and Media,Other Creative Arts,% Other Creative Arts,"Food, Hospitality and Personal Services, nfd",% Food,Food and Hospitality,% Food and Hospitality,Personal Services,% Personal Services,"Mixed Field Programmes, nfd",% Mixed Field,General Education Programmes,% General Education,Social Skills Programmes,% Social Skills,Employment Skills Programmes,% Employment Skills,Other Mixed Field Programmes,% Other Mixed Field,Field of study inadequately described,% Inadequately described,Field of study not stated,% Not stated,Not applicable,% N/A
Bean,ACT,ALP,7.52,"131,902",1066,0.008081758,300,0.002274416,162,0.001228185,227,0.001720975,124,0.000940092,526,0.003987809,310,0.00235023,3206,0.024305924,872,0.006610969,51,0.000386651,0,0,1612,0.012221195,500,0.003790693,42,0.000318418,968,0.007338782,870,0.006595806,109,0.000826371,84,0.000636836,2425,0.018384861,107,0.000811208,22,0.00016679,64,0.000485209,0,0,491,0.003722461,2877,0.021811648,0,0,146,0.001106882,325,0.002463951,14,0.000106139,4,3.03255E-05,258,0.001955998,0,0,237,0.001796789,524,0.003972646,3232,0.02450304,116,0.000879441,163,0.001235766,18,0.000136465,72,0.00054586,293,0.002221346,54,0.000409395,462,0.0035026,14,0.000106139,170,0.001288836,599,0.00454125,4406,0.033403588,0,0,41,0.000310837,745,0.005648133,2141,0.016231748,6944,0.052645146,839,0.006360783,209,0.00158451,1287,0.009757244,655,0.004965808,251,0.001902928,545,0.004131855,1167,0.008847478,1139,0.008635199,2621,0.019870813,797,0.006042365,1201,0.009105245,338,0.002562509,562,0.004260739,578,0.004382041,167,0.001266091,1007,0.007634456,467,0.003540507,323,0.002448788,50,0.000379069,176,0.001334324,412,0.003123531,473,0.003585996,1041,0.007892223,0,0,0,0,1547,0.011728404,1073,0.008134827,0,0,31,0.000235023,0,0,0,0,0,0,1084,0.008218223,7530,0.057087838,64507,0.489052478
Canberra,ACT,ALP,17.08,"123,117",1782,0.014474037,726,0.00589683,424,0.003443879,311,0.002526052,345,0.002802213,1253,0.010177311,453,0.003679427,2628,0.021345549,959,0.007789339,58,0.000471097,6,4.87341E-05,1771,0.014384691,213,0.001730062,61,0.000495464,212,0.001721939,405,0.003289554,140,0.00113713,80,0.000649788,1418,0.0115175,210,0.001705695,12,9.74683E-05,38,0.000308649,0,0,767,0.006229846,1518,0.012329735,0,0,211,0.001713817,167,0.001356433,40,0.000324894,0,0,625,0.005076472,0,0,288,0.002339238,1027,0.008341659,1933,0.015700513,150,0.001218353,185,0.001502636,16,0.000129958,54,0.000438607,438,0.003557592,29,0.000235548,604,0.004905903,23,0.000186814,202,0.001640716,860,0.006985225,3813,0.03097054,4,3.24894E-05,12,9.74683E-05,1209,0.009819927,2517,0.020443968,6179,0.050188033,784,0.006367926,125,0.001015294,801,0.006506006,945,0.007675626,181,0.001470146,1100,0.008934591,2630,0.021361794,2699,0.021922237,1527,0.012402836,1223,0.00993364,3787,0.030759359,222,0.001803163,656,0.005328265,1364,0.011078892,277,0.002249892,2315,0.018803252,342,0.002777845,466,0.003785018,141,0.001145252,332,0.002696622,620,0.00503586,543,0.004410439,1666,0.013531844,0,0,0,0,1037,0.008422882,515,0.004183013,0,0,66,0.000536075,0,0,0,0,0,0,1371,0.011135749,8874,0.07207778,48884,0.39705321
Fenner,ACT,ALP,10.56,"132,414",1021,0.007710665,465,0.003511713,145,0.00109505,166,0.001253644,171,0.001291404,606,0.004576555,334,0.002522392,4214,0.031824429,1302,0.009832797,68,0.000513541,6,4.53124E-05,1650,0.012460918,313,0.002363798,56,0.000422916,641,0.004840878,666,0.00502968,155,0.001170571,86,0.000649478,2060,0.015557267,193,0.00145755,8,6.04166E-05,68,0.000513541,0,0,523,0.003949733,2576,0.019454136,0,0,143,0.001079946,276,0.002084372,9,6.79686E-05,0,0,240,0.001812497,0,0,194,0.001465102,209,0.001578383,2146,0.016206746,108,0.000815624,178,0.001344269,7,5.28645E-05,65,0.000490885,271,0.002046611,22,0.000166146,398,0.003005724,8,6.04166E-05,310,0.002341142,543,0.004100775,4123,0.031137191,0,0,36,0.000271875,1127,0.008511185,3143,0.023736161,7242,0.054692102,919,0.006940354,257,0.001940882,896,0.006766656,960,0.007249989,188,0.001419789,471,0.003557026,1129,0.008526289,1000,0.007552072,2504,0.018910387,761,0.005747126,1222,0.009228631,368,0.002779162,461,0.003481505,773,0.005837751,155,0.001170571,1039,0.007846602,517,0.003904421,449,0.00339088,44,0.000332291,188,0.001419789,301,0.002273174,524,0.003957285,1171,0.008843476,0,0,0,0,1661,0.012543991,1118,0.008443216,0,0,66,0.000498437,0,0,0,0,0,0,1156,0.008730195,6646,0.050191067,65201,0.492402616
Banks,NSW,LP,6.26,"152,817",626,0.004096403,224,0.001465806,43,0.000281382,217,0.001419999,16,0.0001047,184,0.001204055,349,0.002283777,"2,650",0.017341003,929,0.006079167,94,0.000615115,5,3.27189E-05,"2,336",0.015286257,958,0.006268936,219,0.001433087,"1,168",0.007643129,"1,760",0.011517043,387,0.002532441,78,0.000510414,"3,098",0.020272614,251,0.001642487,37,0.00024212,79,0.000516958,0,0,580,0.003795389,"2,941",0.019245241,0,0,95,0.000621659,250,0.001635944,0,0,0,0,49,0.000320645,0,0,283,0.001851888,500,0.003271887,"2,529",0.016549206,226,0.001478893,227,0.001485437,32,0.000209401,59,0.000386083,170,0.001112442,49,0.000320645,530,0.003468201,52,0.000340276,144,0.000942304,459,0.003003593,"4,665",0.030526708,0,0,31,0.000202857,"1,452",0.009501561,"5,788",0.037875367,"6,844",0.044785593,"1,665",0.010895385,450,0.002944699,"1,737",0.011366536,"1,472",0.009632436,279,0.001825713,194,0.001269492,80,0.000523502,335,0.002192164,"2,104",0.013768102,445,0.00291198,930,0.00608571,271,0.001773363,125,0.000817972,741,0.004848937,183,0.001197511,683,0.004469398,285,0.001864976,87,0.000569308,114,0.00074599,255,0.001668663,255,0.001668663,822,0.005378983,773,0.005058338,0,0,0,0,"1,916",0.012537872,"1,297",0.008487276,0,0,169,0.001105898,0,0,0,0,0,0,875,0.005725803,"8,171",0.053469182,"80,037",0.523744086
Barton,NSW,ALP,9.41,"169,641",704,0.00414994,277,0.00163286,49,0.000288845,184,0.001084643,26,0.000153265,245,0.001444226,369,0.002175182,"3,240",0.019099156,"1,198",0.007061972,113,0.000666113,0,0,"2,626",0.015479748,774,0.004562576,220,0.001296856,977,0.005759221,"1,346",0.007934403,454,0.00267624,21,0.000123791,"2,865",0.016888606,142,0.000837062,35,0.000206318,96,0.000565901,0,0,783,0.004615629,"2,696",0.015892385,0,0,101,0.000595375,86,0.000506953,5,2.9474E-05,0,0,102,0.00060127,3,1.76844E-05,327,0.0019276,576,0.003395406,"2,872",0.01692987,188,0.001108223,194,0.001143591,30,0.000176844,67,0.000394952,236,0.001391173,41,0.000241687,401,0.002363815,25,0.00014737,104,0.000613059,412,0.002428658,"3,979",0.023455415,0,0,22,0.000129686,"2,029",0.011960552,"7,015",0.041352032,"8,336",0.049139064,"2,009",0.011842656,552,0.00325393,"1,202",0.007085551,"1,848",0.010893593,301,0.001774335,346,0.002039601,227,0.00133812,585,0.003448459,"2,027",0.011948762,646,0.003808042,"1,255",0.007397976,186,0.001096433,180,0.001061064,978,0.005765116,240,0.001414752,825,0.004863211,283,0.001668229,148,0.000872431,137,0.000807588,486,0.002864873,519,0.003059402,"1,135",0.0066906,"1,445",0.008517988,0,0,0,0,"2,365",0.013941205,"1,373",0.008093562,0,0,243,0.001432437,0,0,0,0,0,0,"1,235",0.00728008,"11,908",0.070195295,"85,410",0.503474985
Bennelong,NSW,LP,6.91,"165,900","1,160",0.006992164,678,0.004086799,248,0.001494876,464,0.002796866,114,0.000687161,582,0.003508137,634,0.003821579,"3,958",0.023857746,"2,218",0.0133695,159,0.000958409,6,3.61664E-05,"3,373",0.020331525,665,0.004008439,360,0.002169982,775,0.004671489,"1,478",0.008908981,684,0.004122966,90,0.000542495,"3,742",0.022555756,64,0.000385775,117,0.000705244,116,0.000699216,0,0,824,0.004966847,"2,398",0.014454491,0,0,156,0.000940325,256,0.001543098,0,0,0,0,172,0.001036769,0,0,412,0.002483424,"1,144",0.00689572,"3,021",0.018209765,338,0.002037372,348,0.002097649,36,0.000216998,68,0.000409885,252,0.001518987,50,0.000301386,824,0.004966847,67,0.000403858,231,0.001392405,648,0.003905967,"5,041",0.030385775,0,0,11,6.6305E-05,"2,771",0.016702833,"8,227",0.049590115,"8,745",0.052712477,"2,343",0.014122966,295,0.00177818,"1,730",0.010427969,"2,711",0.016341169,254,0.001531043,388,0.002338758,210,0.001265823,695,0.004189271,"1,778",0.0107173,821,0.004948764,"1,627",0.009807113,154,0.00092827,223,0.001344183,"1,431",0.008625678,475,0.002863171,"1,257",0.007576854,323,0.001946956,154,0.00092827,140,0.000843882,553,0.003333333,380,0.002290536,"1,127",0.006793249,"1,370",0.008257987,0,0,0,0,"1,872",0.011283906,"1,121",0.006757083,0,0,153,0.000922242,0,0,0,0,0,0,"1,161",0.006998192,"8,060",0.048583484,"73,802",0.444858348
Berowra,NSW,LP,15.65,"140,884","1,108",0.007864626,367,0.00260498,128,0.000908549,339,0.002406235,132,0.000936941,396,0.002810823,375,0.002661764,"2,528",0.01794384,"1,284",0.009113881,69,0.000489765,4,2.83922E-05,"2,881",0.020449448,661,0.004691803,240,0.001703529,878,0.006232077,"1,389",0.009859175,538,0.003818744,116,0.000823372,"3,199",0.022706624,102,0.000724,82,0.000582039,87,0.000617529,0,0,789,0.005600352,"3,125",0.022181369,0,0,178,0.001263451,589,0.004180744,0,0,0,0,201,0.001426706,0,0,317,0.002250078,854,0.006061725,"3,270",0.023210585,243,0.001724823,246,0.001746117,28,0.000198745,125,0.000887255,201,0.001426706,87,0.000617529,798,0.005664234,43,0.000305216,253,0.001795804,609,0.004322705,"5,812",0.041253797,0,0,13,9.22745E-05,"1,402",0.009951449,"4,811",0.034148661,"7,341",0.052106698,"1,915",0.013592743,245,0.001739019,"2,230",0.015828625,"1,725",0.012244116,145,0.001029216,310,0.002200392,117,0.00083047,619,0.004393686,"1,663",0.011804037,754,0.005351921,"1,184",0.008404077,223,0.001582862,201,0.001426706,777,0.005515176,352,0.002498509,913,0.006480509,301,0.002136509,72,0.000511059,106,0.000752392,475,0.003371568,353,0.002505607,872,0.006189489,949,0.006736038,0,0,0,0,"1,054",0.007481332,"1,021",0.007247097,0,0,14,9.93725E-05,0,0,3,2.12941E-05,0,0,864,0.006132705,"6,371",0.045221601,"65,145",0.462401692
Blaxland,NSW,ALP,14.72,"171,811",403,0.002345601,200,0.00116407,29,0.00016879,178,0.001036022,20,0.000116407,88,0.000512191,326,0.001897434,"2,390",0.013910634,676,0.003934556,120,0.000698442,10,5.82035E-05,"1,797",0.010459167,747,0.004347801,149,0.000867232,"1,060",0.00616957,"1,593",0.009271816,256,0.001490009,7,4.07424E-05,"2,422",0.014096886,66,0.000384143,16,9.31256E-05,45,0.000261916,0,0,267,0.001554033,"2,782",0.016192211,0,0,76,0.000442347,84,0.000488909,0,0,0,0,15,8.73052E-05,7,4.07424E-05,250,0.001455087,267,0.001554033,"2,029",0.011809488,312,0.001815949,162,0.000942897,43,0.000250275,36,0.000209533,74,0.000430706,40,0.000232814,198,0.001152429,34,0.000197892,57,0.00033176,205,0.001193172,"3,442",0.020033642,0,0,44,0.000256095,930,0.005412925,"4,335",0.025231213,"5,536",0.032221453,"1,078",0.006274336,279,0.001623877,987,0.005744685,897,0.005220853,119,0.000692622,136,0.000791567,28,0.00016297,197,0.001146609,"2,825",0.016442486,244,0.001420165,519,0.003020761,106,0.000616957,42,0.000244455,691,0.004021861,147,0.000855591,371,0.00215935,119,0.000692622,101,0.000587855,16,9.31256E-05,109,0.000634418,152,0.000884693,472,0.002747205,367,0.002136068,0,0,0,0,"1,510",0.008788727,"1,431",0.00832892,0,0,249,0.001449267,0,0,0,0,0,0,730,0.004248855,"12,374",0.072021,"108,072",0.629016768
Bradfield,NSW,LP,16.56,"157,069","1,284",0.008174751,649,0.004131942,167,0.001063227,431,0.002744017,169,0.00107596,597,0.003800877,458,0.002915916,"2,855",0.018176725,"1,731",0.011020634,97,0.000617563,0,0,"3,196",0.020347745,376,0.002393852,394,0.002508452,242,0.001540724,842,0.005360701,743,0.004730405,56,0.000356531,"2,533",0.01612667,132,0.000840395,66,0.000420197,71,0.000452031,0,0,"1,358",0.008645882,"1,446",0.009206145,0,0,173,0.001101427,189,0.001203293,0,0,0,0,138,0.000878595,0,0,348,0.002215587,"2,183",0.01389835,"3,239",0.02062151,496,0.003157848,561,0.003571679,50,0.000318331,83,0.00052843,227,0.001445225,91,0.000579363,939,0.005978264,86,0.00054753,181,0.00115236,709,0.00451394,"5,377",0.034233362,0,0,3,1.90999E-05,"2,738",0.017431829,"6,945",0.044216236,"9,252",0.058904049,"2,511",0.015986605,289,0.001839956,"2,040",0.012987923,"2,831",0.018023926,139,0.000884961,500,0.003183314,264,0.00168079,948,0.006035564,"1,222",0.00778002,"1,144",0.007283423,"2,930",0.018654222,99,0.000630296,251,0.001598024,"1,399",0.008906914,324,0.002062788,"1,912",0.012172994,292,0.001859056,87,0.000553897,125,0.000795829,624,0.003972776,384,0.002444785,"1,189",0.007569921,"1,306",0.008314817,0,0,0,0,"1,064",0.006774093,634,0.004036443,0,0,41,0.000261032,0,0,0,0,0,0,"1,252",0.007971019,"6,853",0.043630506,"68,047",0.433229982
Calare,NSW,NP,13.29,"156,867",262,0.001670205,27,0.00017212,3,1.91245E-05,13,8.28728E-05,76,0.000484487,112,0.000713981,140,0.000892476,620,0.003952393,39,0.000248618,0,0,0,0,"2,025",0.012909025,541,0.003448781,580,0.0036974,"1,957",0.012475537,"3,276",0.020883934,132,0.000841477,173,0.001102845,"2,430",0.01549083,46,0.000293242,10,6.37483E-05,72,0.000458988,0,0,147,0.0009371,"3,796",0.024198844,0,0,"1,680",0.010709709,700,0.004462379,34,0.000216744,0,0,222,0.001415212,7,4.46238E-05,294,0.001874199,404,0.00257543,"4,507",0.028731346,85,0.00054186,135,0.000860602,14,8.92476E-05,273,0.001740328,209,0.001332339,54,0.000344241,457,0.002913296,26,0.000165746,255,0.001625581,438,0.002792174,"5,353",0.034124449,0,0,95,0.000605609,184,0.001172968,"1,429",0.009109628,"5,108",0.032562617,"1,191",0.007592419,88,0.000560985,"1,751",0.011162322,478,0.003047167,107,0.000682106,161,0.001026347,22,0.000140246,155,0.000988098,"3,174",0.020233701,367,0.002339562,274,0.001746703,531,0.003385033,83,0.000529111,114,0.00072673,184,0.001172968,120,0.000764979,268,0.001708454,62,0.000395239,48,0.000305992,124,0.000790479,295,0.001880574,213,0.001357838,491,0.00313004,0,0,0,0,"2,373",0.015127465,"1,346",0.008580517,0,0,116,0.00073948,0,0,0,0,0,0,633,0.004035266,"16,484",0.10508265,"84,887",0.541139947
