Year,Type,Original funding cluster,Original funding cluster description,Original part of funding cluster,2020 funding cluster,2020 funding cluster description,Broad field of education,Student enrolments: commencing students,Student enrolments: not commencing students,Award course completions,Study area name,FTE +1yr (%),Overall Empl. +1yr (%),Median starting salary +1yr ($),Part funding cluster,Unit description,Field of education code,Maximum student contribution amounts,Commonwealth contribution amounts
2009,Old,Funding cluster 7,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,482","6,404","1,722",Agriculture and Environmental Studies,66.2,86.3,45,Agriculture,Agriculture,501,"$7,412","$18,610"
2009,Old,Funding cluster 7,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,482","6,404","1,722",Agriculture and Environmental Studies,66.2,86.3,45,Agriculture,Fisheries Sciences,507,"$7,412","$18,610"
2009,Old,Funding cluster 7,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,482","6,404","1,722",Agriculture and Environmental Studies,66.2,86.3,45,Agriculture,Forestry Sciences,505,"$7,412","$18,610"
2009,Old,Funding cluster 7,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,482","6,404","1,722",Agriculture and Environmental Studies,66.2,86.3,45,Agriculture,Horticulture and Viticulture,503,"$7,412","$18,610"
2009,Old,Funding cluster 7,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,482","6,404","1,722",Agriculture and Environmental Studies,66.2,86.3,45,Agriculture,"Other Agriculture, Environmental and Related Studies",599,"$7,412","$18,610"
2009,Old,Funding cluster 7,"Dentistry, medicine, veterinary science, agriculture",Agriculture,Funding cluster 8,"Dentistry, medicine, veterinary science, agriculture",Agriculture Environmental and Related Studies,"3,482","6,404","1,722",Agriculture and Environmental Studies,66.2,86.3,45,Environmental Studies,Environmental Studies,509,"$7,412","$18,610"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Architecture and Building,"5,106","10,711","2,748",Architecture and Building,81.3,93.1,45,"Computing, built environment or other health",Architecture and Urban Environment,401,"$7,412","$8,389"
2009,Old,Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, education, computing, built environment, other health","Computing, built environment or other health",Funding cluster 3,"Mathematics, statistics, behavioural science, social studies, computing, built environment, other health",Architecture and Building,"5,106","10,711","2,748",Architecture and Building,81.3,93.1,45,"Computing, built environment or other health",Building,403,"$7,412","$8,389"
2009,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"34,520","81,336","22,535",Business and Management,76.4,90.6,45,"Law, accounting, administration, economics, commerce",Accounting,801,"$8,677","$1,709"
2009,Old,Funding cluster 1,"Law, accounting, administration, economics, commerce","Law, accounting, administration, economics, commerce",Funding cluster 1,"Law, accounting, administration, economics, commerce",Management and Commerce,"34,520","81,336","22,535",Business and Management,76.4,90.6,45,"Law, accounting, administration, economics, commerce","Banking, Finance and Related Fields",811,"$8,677","$1,709"
