Type,Study area,Time after graduation,FTE (%),FTE median salary ($),FTE Managers (%),FTE Professionals (%),FTE All other occupations (%),FTE Extent to which skills and education not fully utilised (%),FTE Main reason - no suitable jobs in my area of expertise (%)
Undergraduate,Science and mathematics, +3 months,62.5,"56,400",4.5,58.9,36.6,38.3,33.9
Undergraduate,Computing and information systems, +3 months,75.3,"60,000",5.5,79.9,14.6,27,17.3
Undergraduate,Engineering, +3 months,78.4,"62,600",8.1,76.3,15.6,24.9,36.1
Undergraduate,Architecture and built environment, +3 months,75,"56,500",11.8,54.2,33.9,24.9,30.2
Undergraduate,Agriculture and environmental studies, +3 months,64.1,"55,000",11.8,45.8,42.4,41.6,31.3
Undergraduate,Health services and support, +3 months,71.7,"59,700",2.9,57.5,39.6,26.5,27.4
Undergraduate,Medicine, +3 months,98.8,"69,800",0,97.8,2.2,4.6,
Undergraduate,Nursing, +3 months,83.2,"59,500",0.9,92.3,6.8,8,22.4
Undergraduate,Pharmacy, +3 months,97.6,"43,800",0,96.7,3.3,6.8,
Undergraduate,Dentistry, +3 months,86.3,"80,000",0,61.9,38.1,3.2,
Undergraduate,Veterinary science, +3 months,86.8,"50,500",0,82.3,17.7,9,
Undergraduate,Rehabilitation, +3 months,85.3,"59,800",0,95,5,10.3,28.1
Undergraduate,Teacher education, +3 months,81.4,"63,000",4.3,88.1,7.6,11.9,17.8
Undergraduate,Business and management, +3 months,77.8,"55,000",15.2,56.7,28.1,34.5,25.1
Undergraduate,"Humanities, culture and social sciences", +3 months,63.1,"55,300",7.2,49.6,43.2,45.1,31.9
Undergraduate,Social work, +3 months,69,"61,500",6.3,65,28.7,30.5,20.7
Undergraduate,Psychology, +3 months,63.7,"55,900",8,50,42,53.7,25.4
Undergraduate,Law and paralegal studies, +3 months,74.5,"60,000",6.3,57.5,36.2,37.3,26.9
Undergraduate,Creative arts, +3 months,56.6,"49,200",7.6,54.2,38.2,39.9,24.2
Undergraduate,Communications, +3 months,63.5,"49,500",11.3,54.3,34.4,39.8,27.7
Undergraduate,"Tourism, hospitality, personal services, sport and recreation", +3 months,78,"54,200",21.9,40.6,37.5,26.7,
Undergraduate,All study areas, +3 months,72.6,"58,700",7.2,65.9,26.9,29.3,27.5
Postgraduate coursework,Science and mathematics, +3 months,77.6,"78,000",7,78.6,14.4,33,42.9
Postgraduate coursework,Computing and information systems, +3 months,83.8,"86,200",25.6,62.8,11.7,37.4,19.4
Postgraduate coursework,Engineering, +3 months,84,"91,700",22.7,63.5,13.8,31.2,30.1
Postgraduate coursework,Architecture and built environment, +3 months,88.6,"60,000",8.1,74.1,17.8,23.8,16.3
Postgraduate coursework,Agriculture and environmental studies, +3 months,71.9,"73,700",15,55.8,29.2,36.4,47.6
Postgraduate coursework,Health services and support, +3 months,83.7,"78,300",10.6,76.3,13.1,32.3,30.8
Postgraduate coursework,Medicine, +3 months,95.2,"80,000",1.8,95.4,2.8,8.1,
Postgraduate coursework,Nursing, +3 months,93.9,"79,300",1.6,96.8,1.6,17,28.6
Postgraduate coursework,Pharmacy, +3 months,85.2,,0,95.7,4.3,,
Postgraduate coursework,Dentistry, +3 months,87.9,"95,000",0,82.8,17.2,10.3,
Postgraduate coursework,Veterinary science, +3 months,97,"52,200",0,96.8,3.2,6.5,
Postgraduate coursework,Rehabilitation, +3 months,94.6,"65,500",2.1,95.7,2.1,11,
Postgraduate coursework,Teacher education, +3 months,83.9,"75,000",11.3,82.8,5.9,22.1,17.4
Postgraduate coursework,Business and management, +3 months,91.2,"103,000",46.8,38.4,14.8,41.5,22.6
Postgraduate coursework,"Humanities, culture and social sciences", +3 months,82.1,"77,000",14.9,65.6,19.4,35.7,29.4
Postgraduate coursework,Social work, +3 months,79.8,"64,300",6.5,74.8,18.8,31.5,22.6
Postgraduate coursework,Psychology, +3 months,86.4,"75,000",8.6,81.3,10.1,27.8,20.7
Postgraduate coursework,All study areas, +3 months,86.2,"75,600",10.6,70.7,18.7,37.2,31.7
Postgraduate coursework,Creative arts, +3 months,73.1,"61,400",16.2,62.9,21,41.6,34.1
Postgraduate coursework,Communications, +3 months,76.5,"61,400",16.8,67,16.2,39.1,29.9
