"",,,Field of Maximum student,,Commonwealth
Funding cluster,Part of funding cluster,Unit description,education contribution amounts,,contribution
"",,,code (see footnotes for exceptions),,amounts
Funding cluster 1,,Law,0909,,
"Law, accounting,",,Accounting,0801,,
"administration,",,,,,
"0803 economics,",,Business and Management,,,
commerce,,Sales and Marketing,0805,,
"",,Tourism,0807,,
"",,Office Studies,0809,,
"",,"Banking, Finance and Related Fields","0811 $10,085",,"$1,990"
"",,Other Management and Commerce,0899,,
"",,Economics and Econometrics,0919,,
"",,Food and Hospitality,1101,,
"",,Personal Services,1103,,
"",,General Education Programmes,1201,,
"",,Other Mixed Field Programmes,1299,,
Funding cluster 2,,History,090305,,
Humanities,,Archaeology,090307,,
"",,Indigenous Studies,090311,,
"",,Justice and Law Enforcement,0911,,
"",,Language and Literature,091500,,
"",,,"$6,044",,"$5,530"
"",,English Language,091501,,
"",,Linguistics,091521,,
"",,Literature,091523,,
"",,Language and Literature not elsewhere classified,091599,,
"",,Philosophy and Religious Studies,0917,,
Funding cluster 3,"Mathematics, statistics,",Mathematical Sciences,0101,,
"Mathematics,","computing, built",Computer Science,0201,,
"statistics, behavioural",environment or other,,,,
"0203 science, social",health,Information Systems,,,
"studies, computing,",,Other Information Technology,0299,,
"built environment,",,Architecture and Urban Environment,0401,,
other health,,,,,
"",,Building,0403,,
"",,Public Health,061300,,
"",,Occupational Health and Safety,061301,,
"",,Environmental Health,061303,,
"",,Health Promotion,061307,,
"",,,"$8,613",,
"",,Community Health,061309,,
"",,Epidemiology,061311,,
"",,Public Health not elsewhere classified,061399,,
"",,Rehabilitation Therapies,061700,,
"",,Massage Therapy,061711,,
"",,Rehabilitation Therapies not elsewhere classified,061799,,
"",,Complementary Therapies,0619,,
"",,Other Health,069900,,
"",,First Aid,069907,,
"",,Health not elsewhere classified,069999,,
"",1,,,,
"",Behavioural science  or,Human Movement,069903,,
"",social studies,Political Science and Policy Studies,0901,,"$9,782"
"",,,,,
"",,Studies in Human Society,090300,,
"",,Sociology,090301,,
"",,Anthropology,090303,,
"",,Human Geography,090309,,
"",,Gender Specific Studies,090313,,
"",,Studies in Human Society not elsewhere classified,090399,,
"",,Human Welfare Studies and Services,090500,,
"",,Social Work,090501,,
"",,Children’s Services,090503,,
"",,,"$6,044",,
"",,Youth Work,090505,,
"",,Care for the Aged,090507,,
"",,Care for the Disabled,090509,,
"",,Residential Client Care,090511,,
"",,Counselling,090513,,
"",,Welfare Studies,090515,,
"",,Human Welfare Studies and Services not elsewhere classified,090599,,
"",,1,,,
"",,Behavioural Science,0907,,
"",,"Librarianship, Information Management and Curatorial Studies",0913,,
"",,Sport and Recreation,0921,,
"",,Other Society and Culture,0999,,
Funding Cluster 4,Education,Teacher Education,0701,,
Education,,2 Curriculum and Education Studies,"0703 $6,044",,"$10,178"
"",,Other Education,0799,,
