Funding,Part of funding,,Unit description,Field of,Maximum,Commonwealth
"",,,,,student,
cluster,cluster,,,education,contribution,contribution
"",,,,code,amounts for,
"",,,,,2011,
"",,,,,(see footnotes,
"",,,,,for,
"",,,,,exceptions),
Funding,,Law,,0909,"$9,0801","$1,793"
cluster 1,,Accounting,,0801,,
"Law,",,Business and Management,,0803,,
"accounting,",,Sales and Marketing,,0805,,
"administration,",,Tourism,,0807,,
"economics,",,Office Studies,,0809,,
commerce,,"Banking, Finance and Related Fields",,0811,,
"",,Other Management and Commerce,,0899,,
"",,Economics and Econometrics,,0919,,
"",,Food and Hospitality,,1101,,
"",,Personal Services,,1103,,
"",,General Education Programmes,,1201,,
"",,Other Mixed Field Programmes,,1299,,
Funding,,History,,090305,"$5,442","$4,979"
cluster 2,,Archaeology,,090307,,
Humanities,,Indigenous Studies,,090311,,
"",,Justice and Law Enforcement,,0911,,
"",,Language and Literature,,091500,,
"",,English Language,,091501,,
"",,Linguistics,,091521,,
"",,Literature,,091523,,
"",,Language and Literature not elsewhere classified,,091599,,
"",,Philosophy and Religious Studies,,0917,,
Funding,Mathematics,Mathematical Sciences,,0101,"$4,3552","$8,808"
cluster 3,or statistics,,,,,
"Mathematics,","Computing,",Computer Science,,0201,"$7,756",
"statistics,",built,Information Systems,,0203,,
behavioural,environment,Other Information Technology,,0299,,
"science, social",or other health,Architecture and Urban Environment,,0401,,
"studies,",,Building,,0403,,
"computing,",,Public Health,,061300,,
built,,Occupational Health and Safety,,061301,,
"environment,",,Environmental Health,,061303,,
other health,,Health Promotion,,061307,,
"",,Community Health,,061309,,
"",,Epidemiology,,061311,,
"",,Public Health not elsewhere classified,,061399,,
"",,Rehabilitation Therapies,,061700,,
"",,Massage Therapy,,061711,,
"",,Rehabilitation Therapies not elsewhere classified,,061799,,
"",,Complementary Therapies,,0619,,
"",,Other Health,,069900,,
"",,First Aid,,069907,,
"",,Health not elsewhere classified,,069999,,
"",Behavioural,Human Movement,,069903,"$5,442",
"",science or,Political Science and Policy Studies,,0901,,
"",social studies,Studies in Human Society,,090300,,
"",,Sociology,,090301,,
"",,Anthropology,,090303,,
"",,Human Geography,,090309,,
"",,Gender Specific Studies,,090313,,
